panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
Cardiometabolic	OID20391	FCGR2A	P12318	PT2-PR2	9	0.01626666666666667	-0.08924444444444445	0.10551111111111111	1.6371070133290977	8	0.14024392738588443	0.38932102803025403	
Neurology	OID21117	CNTN4	Q8IWV2	PT2-PR2	9	0.43817777777777783	0.3091777777777778	0.12899999999999998	1.6358752038907753	8	0.14050372076266582	0.38943389773652093	
Cardiometabolic	OID20177	CD2AP	Q9Y5K6	PT2-PR2	8	1.2403625	0.6832875	0.557075	1.6608654148109907	7	0.14069760238610907	0.38960372837925394	
Cardiometabolic_II	OID30242	ATP6V1G1	O75348	PT2-PR2	9	0.3329222222222222	-0.09647777777777777	0.4294	1.6313029228431677	8	0.14147189967145235	0.391010763155905	
Cardiometabolic	OID20264	DKK3	Q9UBP4	PT2-PR2	9	0.3685555555555555	0.4640111111111111	-0.09545555555555556	-1.631791276292653	8	0.14136819982021986	0.391010763155905	
Cardiometabolic_II	OID30323	PDAP1	Q13442	PT2-PR2	9	0.032222222222222235	-0.37643333333333334	0.40865555555555555	1.6297289835716422	8	0.14180659415849828	0.39156745642637963	
Cardiometabolic_II	OID30258	RANBP1	P43487	PT2-PR2	9	1.099211111111111	0.5915777777777778	0.5076333333333333	1.6251013696933185	8	0.14279485451972596	0.39184215452713883	
Inflammation	OID20744	DNPH1	O43598	PT2-PR2	9	0.6746888888888889	0.3235333333333334	0.35115555555555555	1.6233232393441597	8	0.14317626243148318	0.39184215452713883	
Oncology	OID21228	CLEC6A	Q6EIG7	PT2-PR2	7	0.17352857142857142	-0.07317142857142855	0.2467	1.6841010588569099	6	0.1431462986388523	0.39184215452713883	
Inflammation_II	OID30480	TERF1	P54274	PT2-PR2	9	-0.4105222222222222	-0.18486666666666665	-0.22565555555555555	-1.6232076153532782	8	0.14320109599022235	0.39184215452713883	
Cardiometabolic	OID20188	LPL	P06858	PT2-PR2	8	0.6474375	0.4241375	0.22329999999999997	1.6503727931394312	7	0.14285203414659287	0.39184215452713883	
Cardiometabolic	OID20373	RARRES2	Q99969	PT2-PR2	9	-0.7844555555555555	-0.9882444444444444	0.2037888888888889	1.6269053267373565	8	0.14240885820378568	0.39184215452713883	
Cardiometabolic_II	OID30345	CDA	P32320	PT2-PR2	9	-0.38733333333333336	-0.1840111111111111	-0.2033222222222222	-1.6264222590865927	8	0.14251212731765084	0.39184215452713883	
Oncology	OID21360	OGFR	Q9NZT2	PT2-PR2	8	0.582325	0.4	0.18232500000000004	1.652650412160866	7	0.14238175990985025	0.39184215452713883	
Cardiometabolic	OID20366	CHL1	O00533	PT2-PR2	9	0.11323333333333332	-0.01416666666666667	0.12739999999999999	1.622407040923975	8	0.14337315048219001	0.39184215452713883	
Inflammation	OID20603	CD200	P41217	PT2-PR2	8	0.39947499999999997	0.3078	0.091675	1.6491342049866466	7	0.14310838439145446	0.39184215452713883	
Cardiometabolic	OID20314	ACP5	P13686	PT2-PR2	9	0.06042222222222223	-0.01171111111111111	0.07213333333333335	1.623013821035918	8	0.1432427277088517	0.39184215452713883	
Oncology_II	OID31340	GPRC5C	Q9NQ84	PT2-PR2	9	-0.03277777777777779	-0.208	0.17522222222222225	1.6200691683003827	8	0.1438766755562173	0.3928528557473666	
