rule	precision_at_K	recall_at_K	f1_at_K	rep	n	frac_tp	effect	hetero	fragile
q	0.52	0.52	0.52	2	8	0.05	strong	False	0.5
abs_d	0.64	0.64	0.64	2	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	2	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	3	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	3	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	3	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	4	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	4	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	4	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	5	8	0.05	strong	False	0.5
abs_d	0.72	0.72	0.72	5	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	5	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	6	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	6	8	0.05	strong	False	0.5
S	0.56	0.56	0.56	6	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	7	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	7	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	7	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	8	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	8	8	0.05	strong	False	0.5
S	0.48	0.48	0.48	8	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	9	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	9	8	0.05	strong	False	0.5
S	0.48	0.48	0.48	9	8	0.05	strong	False	0.5
q	0.44	0.44	0.44	10	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	10	8	0.05	strong	False	0.5
S	0.48	0.48	0.48	10	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	11	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	11	8	0.05	strong	False	0.5
S	0.6	0.6	0.6	11	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	12	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	12	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	12	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	13	8	0.05	strong	False	0.5
abs_d	0.72	0.72	0.72	13	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	13	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	14	8	0.05	strong	False	0.5
abs_d	0.92	0.92	0.92	14	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	14	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	15	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	15	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	15	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	16	8	0.05	strong	False	0.5
abs_d	0.68	0.68	0.68	16	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	16	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	17	8	0.05	strong	False	0.5
abs_d	0.68	0.68	0.68	17	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	17	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	18	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	18	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	18	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	19	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	19	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	19	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	20	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	20	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	20	8	0.05	strong	False	0.5
q	0.44	0.44	0.44	21	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	21	8	0.05	strong	False	0.5
S	0.48	0.48	0.48	21	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	22	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	22	8	0.05	strong	False	0.5
S	0.6	0.6	0.6	22	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	23	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	23	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	23	8	0.05	strong	False	0.5
q	0.48	0.48	0.48	24	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	24	8	0.05	strong	False	0.5
S	0.48	0.48	0.48	24	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	25	8	0.05	strong	False	0.5
abs_d	0.92	0.92	0.92	25	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	25	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	26	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	26	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	26	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	27	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	27	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	27	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	28	8	0.05	strong	False	0.5
abs_d	0.72	0.72	0.72	28	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	28	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	29	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	29	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	29	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	30	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	30	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	30	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	31	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	31	8	0.05	strong	False	0.5
S	0.56	0.56	0.56	31	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	32	8	0.05	strong	False	0.5
abs_d	0.88	0.88	0.88	32	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	32	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	33	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	33	8	0.05	strong	False	0.5
S	0.6	0.6	0.6	33	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	34	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	34	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	34	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	35	8	0.05	strong	False	0.5
abs_d	0.88	0.88	0.88	35	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	35	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	36	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	36	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	36	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	37	8	0.05	strong	False	0.5
abs_d	0.8	0.8	0.8000000000000002	37	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	37	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	38	8	0.05	strong	False	0.5
abs_d	0.72	0.72	0.72	38	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	38	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	39	8	0.05	strong	False	0.5
abs_d	0.76	0.76	0.76	39	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	39	8	0.05	strong	False	0.5
q	0.52	0.52	0.52	40	8	0.05	strong	False	0.5
abs_d	0.84	0.84	0.8399999999999999	40	8	0.05	strong	False	0.5
S	0.52	0.52	0.52	40	8	0.05	strong	False	0.5
