panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Inflammation	TNFRSF14	PT1-PR1	0.19657	0.1580847658673264	10	10	0	0	0
Neurology	FYB1	PT1-PR1	0.71293	0.1580847658673264	10	10	0	0	1
Neurology_II	ESYT2	PT1-PR1	0.88202	0.1580847658673264	10	10	0	0	0
Neurology_II	PHACTR2	PT1-PR1	1.16146	0.1580847658673264	10	10	0	0	0
Oncology	ERBIN	PT1-PR1	1.02654	0.1580847658673264	10	10	0	0	0
Oncology	IL6	PT1-PR1	0.5085	0.1580847658673264	10	10	0	0	0
Oncology	KDR	PT1-PR1	0.12518	0.1580847658673264	10	10	0	0	0
Cardiometabolic	CDHR5	PT1-PR1	0.28309	0.16058218162856164	10	10	0	0	0
Cardiometabolic	CTSL	PT1-PR1	0.19923	0.16058218162856164	10	10	0	0	0
Cardiometabolic	PLXNB3	PT1-PR1	0.34342	0.16058218162856164	10	10	0	1	1
Cardiometabolic_II	CMC1	PT1-PR1	0.6112	0.16058218162856164	10	10	0	0	0
Cardiometabolic_II	SYTL4	PT1-PR1	0.55135	0.16058218162856164	10	10	0	0	0
Inflammation	ATP5IF1	PT1-PR1	0.97469	0.16058218162856164	10	10	0	0	0
Inflammation	BANK1	PT1-PR1	0.928012	0.16058218162856164	10	10	0	0	0
Inflammation	CCL17	PT1-PR1	0.45188	0.16058218162856164	10	10	0	0	0
Inflammation	COLEC12	PT1-PR1	0.13014	0.16058218162856164	10	10	0	0	0
Inflammation	CXCL3	PT1-PR1	0.84555	0.16058218162856164	10	10	0	0	0
Inflammation	PROK1	PT1-PR1	0.301125	0.16058218162856164	10	10	0	0	0
Inflammation	SMPDL3A	PT1-PR1	0.13145	0.16058218162856164	10	10	0	0	1
Inflammation_II	KLRF1	PT1-PR1	0.185375	0.16058218162856164	10	10	0	0	0
Neurology	FCER2	PT1-PR1	0.12994	0.16058218162856164	10	10	0	0	1
Neurology	LGALS8	PT1-PR1	0.47903	0.16058218162856164	10	10	0	0	0
Neurology_II	AZI2	PT1-PR1	0.73792	0.16058218162856164	10	10	0	0	0
Neurology_II	DOK1	PT1-PR1	1.43348	0.16058218162856164	10	10	0	0	0
Neurology_II	OTUD7B	PT1-PR1	0.52014	0.16058218162856164	10	10	0	0	0
Neurology_II	WASHC3	PT1-PR1	0.76565	0.16058218162856164	10	10	0	0	0
Oncology	LAT2	PT1-PR1	1.07673	0.16058218162856164	10	10	0	0	0
Oncology_II	CETN3	PT1-PR1	0.50093	0.16058218162856164	10	10	0	0	0
Oncology_II	GIPC3	PT1-PR1	1.07684	0.16058218162856164	10	10	0	0	0
Oncology_II	IMMT	PT1-PR1	0.36522	0.16058218162856164	10	10	0	0	0
Cardiometabolic	CTSH	PT1-PR1	0.62275	0.1607836095052691	10	10	0	0	0
Cardiometabolic	LDLR	PT1-PR1	0.18135	0.1607836095052691	10	10	0	0	0
Cardiometabolic	SDC1	PT1-PR1	0.41807	0.1607836095052691	10	10	0	0	0
Inflammation	IRAK1	PT1-PR1	0.71803	0.1607836095052691	10	10	0	0	0
Inflammation	LGMN	PT1-PR1	0.22047	0.1607836095052691	10	10	0	0	0
Inflammation	MPIG6B	PT1-PR1	0.85026	0.1607836095052691	10	10	0	0	0
Inflammation	SKAP2	PT1-PR1	1.07744	0.1607836095052691	10	10	0	0	0
Inflammation_II	IL36A	PT1-PR1	0.801662	0.1607836095052691	10	10	0	0	0
Neurology	ANXA3	PT1-PR1	0.59503	0.1607836095052691	10	10	0	0	0
Neurology	DKK1	PT1-PR1	0.39856	0.1607836095052691	10	10	0	0	1
Neurology	MESD	PT1-PR1	0.71598	0.1607836095052691	10	10	0	0	0
Neurology_II	FKBP14	PT1-PR1	0.60488	0.1607836095052691	10	10	0	0	0
Neurology_II	VAV3	PT1-PR1	1.28926	0.1607836095052691	10	10	0	0	0
