pathway	collection	hits	set_size_universe	set_size_raw	foreground_size	universe_size	pvalue	fdr	hit_genes
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	kegg	0	4	46	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_AMPLIFIED_REL_TO_TRANSCRIPTION	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY	kegg	0	4	11	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_DUPLICATION_OR_MUTATION_ACTIVATED_FLT3_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_DUPLICATION_OR_MUTATION_ACTIVATED_FLT3_TO_RAS_PI3K_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_EGF_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	kegg	0	4	8	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY	kegg	0	4	7	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_IGF2_OVEREXPRESSION_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	kegg	0	4	45	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MET_OVEREXPRESSION_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	kegg	0	4	24	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_EGFR_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	kegg	0	4	29	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	kegg	0	4	25	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KIT_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	14	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY	kegg	0	4	15	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	kegg	0	4	36	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT	kegg	0	4	45	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM	kegg	0	4	19	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	kegg	0	4	45	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT	kegg	0	4	27	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SPTBN2_TO_MGLUR1_TRPC3_SIGNALING_PATHWAY	kegg	0	4	10	7	2920	1.000000e+00	1.000000e+00	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	kegg	0	4	25	7	2920	1.000000e+00	1.000000e+00	
