module	contrast	n_samples_a	n_samples_b	n_genes	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
module_14	PT2-PT1	10	10	79	-0.2945164158041753	-0.29931369938559477	0.0047972835814195204	0.06595176803688893	9	0.9488580150031218	0.9488580150031218	
module_15	PT2-PT1	10	10	72	-0.03186771364904402	-0.14080919316461174	0.1089414795155677	1.5261937815142737	9	0.16130488159772471	0.9289018193232332	
module_16	PT2-PT1	10	10	63	-0.20580857369494598	-0.22655416270598314	0.02074558901103713	0.2727342578015063	9	0.791211977255657	0.9462628674261884	
module_17	PT2-PT1	10	10	51	0.26223651007069493	0.10620138631452583	0.15603512375616915	2.6924636018650285	9	0.024696657762472318	0.24696657762472318	
module_18	PT2-PT1	10	10	46	-0.056204363379285985	-0.07194953436539306	0.015745170986107077	0.29006748002766725	9	0.7783368179746	0.9462628674261884	
module_19	PT2-PT1	10	10	42	-0.37852111111111114	-0.2841066360664644	-0.09441447504464671	-0.894312091947856	9	0.39444173824773854	0.9289018193232332	
module_20	PT2-PT1	10	10	35	0.3199587890205936	0.2995710078781512	0.02038778114244232	0.3072911674619394	9	0.7656134017141065	0.9462628674261884	
module_01	PT2-PR2	10	10	601	1.2790470568430563	0.5618082375851227	0.7172388192579335	3.426088376530463	9	0.007554825485606154	0.050365503237374355	
module_02	PT2-PR2	10	10	378	-0.04187953140086234	-0.06293854548332616	0.021059014082463818	0.36147031963306264	9	0.7260883500679156	0.8074667027466533	
module_03	PT2-PR2	10	10	297	-0.08632641903049208	-0.14047041253784326	0.054143993507351176	0.5208718913679505	9	0.6150274295336173	0.8074667027466533	
module_04	PT2-PR2	10	10	184	-0.05941639924328636	-0.08962232340249761	0.03020592415921124	0.36059569570996886	9	0.726720032471988	0.8074667027466533	
module_05	PT2-PR2	10	10	165	-0.2593308538212312	-0.24214906977541065	-0.01718178404582054	-0.4173465367064977	9	0.686204553207469	0.8074667027466533	
module_06	PT2-PR2	10	10	144	0.14014991969125862	-0.06531985277318984	0.20546977246444853	3.8518174482802867	9	0.003895475812963678	0.03895475812963678	
module_07	PT2-PR2	10	10	141	-0.14886722279305792	-0.038442661003216715	-0.1104245617898412	-2.209320600892012	9	0.05450561953048094	0.21802247812192377	
module_08	PT2-PR2	10	10	121	-0.18684148189639527	-0.10822232211680119	-0.07861915977959408	-1.211662819602033	9	0.2564926442714499	0.5644296598198242	
module_09	PT2-PR2	10	10	117	-0.3168233036538849	-0.31618403669932976	-0.0006392669545551621	-0.010111317449248754	9	0.9921530602766588	0.9921530602766587	
module_10	PT2-PR2	10	10	107	0.07540775430682227	-0.030886127489058807	0.10629388179588109	1.0048774362705017	9	0.34120670412496423	0.6203758256817532	
module_11	PT2-PR2	10	10	104	-0.1702864794682442	-0.26140588597877074	0.09111940651052657	1.143803656313334	9	0.2822148299099121	0.5644296598198242	
module_12	PT2-PR2	10	10	91	-0.32938860430908967	-0.2432947013147322	-0.08609390299435742	-1.5823736753282123	9	0.14802360273624426	0.49341200912081423	
module_13	PT2-PR2	10	10	82	0.05700669293641636	0.011349886074070229	0.04565680686234614	0.6708785950763018	9	0.5191420558645534	0.7986800859454668	
module_14	PT2-PR2	10	10	79	-0.2945164158041753	-0.358047452654215	0.06353103685003972	0.7894625627207466	9	0.45013880691498165	0.7502313448583028	
module_15	PT2-PR2	10	10	72	-0.03186771364904402	-0.053660291234684764	0.02179257758564074	0.2568781547169876	9	0.8030489195137234	0.8453146521197088	
module_16	PT2-PR2	10	10	63	-0.20580857369494598	-0.15852397101449275	-0.04728460268045322	-0.6042391288590174	9	0.5606057254109151	0.800865322015593	
module_17	PT2-PR2	10	10	51	0.26223651007069493	-0.052354362478904605	0.31459087254959955	4.133616325762988	9	0.0025457309431307085	0.03895475812963678	
module_18	PT2-PR2	10	10	46	-0.056204363379285985	0.10192790991110925	-0.15813227329039523	-2.994461632256979	9	0.015091303239884057	0.07545651619942029	
module_19	PT2-PR2	10	10	42	-0.3785211111111111	-0.26614444337194343	-0.11237666773916773	-1.1706611070031483	9	0.2717975767437042	0.5644296598198242	
module_20	PT2-PR2	10	10	35	0.3199587890205936	0.14071384991723956	0.17924493910335398	1.2706843415694773	9	0.2357023658563675	0.5644296598198242	
