panel	gene_symbol	n_pt1_pr1	sd_pt1_pr1	n_pt2_pr2	sd_pt2_pr2	mean_sd_acute
Inflammation_II	PALLD	10	0.808755	10	1.07099	0.939875
Inflammation	MPIG6B	10	0.841881	10	1.0375	0.939692
Inflammation_II	MARS1	10	0.877431	10	1.00123	0.939331
Cardiometabolic_II	ITPA	10	0.84046	10	1.03706	0.938762
Inflammation_II	SCRIB	10	1.05376	10	0.821956	0.937858
Neurology_II	KLF4	10	0.773675	10	1.09989	0.936781
Neurology_II	MRI1	10	0.93372	10	0.939693	0.936707
Inflammation_II	LMOD1	10	1.17803	10	0.68783	0.932928
Oncology_II	TCP11	10	1.28324	10	0.582274	0.932759
Inflammation_II	ADAMTS4	10	0.943873	10	0.921022	0.932448
Neurology_II	PRKAR2A	10	0.903517	10	0.956449	0.929983
Neurology	NXPH1	10	0.94595	10	0.911912	0.928931
Cardiometabolic	CNST	10	0.704248	10	1.15127	0.927761
Neurology_II	ESYT2	10	0.831465	10	1.02144	0.926455
Neurology_II	IMPACT	10	1.00582	10	0.846948	0.926384
Inflammation_II	MCEMP1	10	1.04137	10	0.810759	0.926063
Cardiometabolic_II	TMED4	10	1.13793	10	0.713612	0.925773
Inflammation_II	SPART	10	0.942939	10	0.906128	0.924534
Neurology_II	AZI2	10	0.716305	10	1.13108	0.923695
Inflammation	SLC39A5	10	0.976701	10	0.868614	0.922657
Inflammation	NUB1	10	0.937297	10	0.90325	0.920274
Neurology_II	FGD3	10	0.901586	10	0.938206	0.919896
Oncology	INPPL1	10	0.677016	10	1.16166	0.919339
Cardiometabolic_II	COPB2	10	1.10196	10	0.735076	0.918518
Inflammation	JCHAIN	10	1.03889	10	0.798	0.918447
Neurology	EBAG9	10	0.947643	10	0.886285	0.916964
Oncology	SNAP29	10	0.84782	10	0.983343	0.915581
Neurology_II	ECSCR	10	1.20228	10	0.625142	0.913712
Neurology_II	DDHD2	10	0.836568	10	0.989369	0.912969
Neurology_II	GABRA4	10	0.973323	10	0.850466	0.911895
Inflammation_II	ANKMY2	10	0.959275	10	0.863363	0.911319
Oncology	APEX1	10	0.654001	10	1.1658	0.909901
Oncology_II	ENSA	10	0.975115	10	0.842041	0.908578
Oncology_II	SAP18	10	1.09058	10	0.724757	0.907667
Cardiometabolic	SERPINA12	10	0.21875	10	1.59316	0.905957
Neurology	CLSTN1	10	1.07074	10	0.740566	0.905654
