panel	assay_id	gene_symbol	uniprot	comparison	n_pairs	mean_a	mean_b	mean_diff	t	df	p_value	bh_q	skip_reason
In	OID_gisby_00331	IL33	O95760	late-early	22	0.4581109090909091	0.8019577272727272	-0.34384681818181817	-3.7255107740617115	21	0.0012499918763646534	0.010354386820046016	
IR	OID_gisby_00425	CLEC7A	Q9BXN2	late-early	22	7.068718636363636	6.791110454545454	0.27760818181818175	3.722598104190767	21	0.0012586754620698137	0.010354386820046016	
In	OID_gisby_00306	IL-18R1	Q13478	late-early	22	9.131914545454546	9.396998181818184	-0.26508363636363635	-3.690587093207288	21	0.0013581280988026467	0.010965626871813962	
In	OID_gisby_00318	TNF	P01375	late-early	22	4.165057272727273	4.537969545454546	-0.37291227272727295	-3.6819382564187197	21	0.0013863051496874057	0.010989619004794707	
CVD3	OID_gisby_00218	PSP-D	P35247	late-early	22	3.178550909090909	2.3332127272727274	0.8453381818181818	3.6590023355697467	21	0.0014638532327915232	0.011397143026734002	
IR	OID_gisby_00398	HEXIM1	O94992	late-early	22	5.955533636363636	6.483424090909091	-0.5278904545454545	-3.5942382956684473	21	0.001706676845008026	0.013054580779359637	
CM	OID_gisby_00043	PLXNB2	O15031	late-early	22	1.968783181818182	2.193666818181818	-0.22488363636363645	-3.546344396821368	21	0.0019113676770252663	0.014368212192810623	
IR	OID_gisby_00373	GALNT3	Q14435	late-early	22	2.949070909090909	3.339571363636364	-0.39050045454545457	-3.4946767356887	21	0.002159282441545507	0.015033124345027939	
CVD2	OID_gisby_00154	AGRP	O00253	late-early	22	7.586749090909091	7.972050000000001	-0.38530090909090925	-3.5196310723763995	21	0.002035834556108229	0.015033124345027939	
CM	OID_gisby_00009	CR2	P20023	late-early	22	6.991433636363637	6.685101363636364	0.3063322727272728	3.4964439799014393	21	0.0021503032517786735	0.015033124345027939	
IR	OID_gisby_00389	CD28	P10747	late-early	22	2.285085454545454	1.9850299999999996	0.30005545454545457	3.4921435551113063	21	0.002172217508570551	0.015033124345027939	
In	OID_gisby_00320	CD5	P06127	late-early	22	7.302610454545456	7.072990454545453	0.22962000000000005	3.4942947305285843	21	0.0021612282044238817	0.015033124345027939	
CVD3	OID_gisby_00225	FAS	P25445	late-early	22	6.775661818181817	6.576277727272726	0.19938409090909096	3.467563966570203	21	0.002301742430093734	0.015680620305013562	
IR	OID_gisby_00434	ITGB6	P18564	late-early	22	4.272898181818182	3.9799281818181824	0.29297000000000006	3.4500918160524177	21	0.0023983906288436163	0.016087666371935642	
In	OID_gisby_00303	IL-15RA	Q13261	late-early	22	3.2912345454545457	3.0896309090909098	0.2016036363636364	3.441127918222269	21	0.0024495079383541896	0.016181597895794344	
CVD3	OID_gisby_00243	ST2	Q01638	late-early	22	6.985226363636364	7.586725909090908	-0.6014995454545454	-3.3877346962315222	21	0.002776846984275716	0.01807022813648078	
