gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
F12	10	0.25695999999999997	0.25596115999999974	0.10549794326093136	0.08234675000000001	0.4899475	1.0	1.0	PT1-PR1	1000
PRSS8	10	0.16772000000000004	0.16972068999999979	0.03942169160999175	0.08710700000000006	0.2420135	1.0	1.0	PT1-PR1	1000
FBLN2	10	0.30373	0.30196651999999996	0.1443844857788511	0.07519325	0.6049252499999999	1.0	1.0	PT1-PR1	1000
MSRA	10	0.5007800000000001	0.5012146899999996	0.1437714223257929	0.24434250000000002	0.8064677499999998	1.0	1.0	PT1-PR1	1000
FADD	10	0.49677000000000004	0.4995482200000002	0.16264632148229888	0.204576	0.8349085	1.0	1.0	PT1-PR1	1000
CIRBP	10	1.0091499999999998	1.0063231200000005	0.275610115549954	0.49560449999999995	1.5727849999999997	1.0	1.0	PT1-PR1	1000
IGFBP7	10	0.19314000000000003	0.19640490000000005	0.05324305835931534	0.09666625000000001	0.30434500000000003	1.0	1.0	PT1-PR1	1000
LY6D	10	0.20232	0.20322090999999992	0.05436282002318102	0.10291725	0.31172375	1.0	1.0	PT1-PR1	1000
IL2RG	10	0.41590000000000005	0.41340890000000036	0.1402503683396568	0.13842425000000003	0.6773840000000001	1.0	1.0	PT1-PR1	1000
ARL13B	10	0.48468	0.4869181	0.19127846542024415	0.1503565	0.8896634999999999	1.0	1.0	PT1-PR1	1000
TPP1	10	0.26891	0.2711121899999998	0.05679734536176886	0.15984475	0.37802575	1.0	1.0	PT1-PR1	1000
TBC1D23	10	0.89968	0.903357359999999	0.2789359449712917	0.40938099999999994	1.4580434999999996	1.0	1.0	PT1-PR1	1000
SERPINB8	10	-0.17296999999999998	-0.17386572000000014	0.0485471473311831	-0.26357775000000006	-0.06960475000000005	0.0	1.0	PT1-PR1	1000
TARS1	10	0.39089	0.3944584499999999	0.13824003832353773	0.13831774999999996	0.6869864999999998	1.0	1.0	PT1-PR1	1000
LYN	10	0.5224500000000001	0.5192536499999998	0.1704498942652431	0.19289049999999996	0.845273	1.0	1.0	PT1-PR1	1000
