gene_symbol	n_subjects	point_mean	boot_mean	boot_sd	ci_lo_95	ci_hi_95	p_pos	p_sign_stable	contrast	n_boot
CCL18	23	0.554908695652174	0.554948095652174	0.1640127325909617	0.24525490217391316	0.8879515108695648	1.0	1.0	late-early	1000
CCL17	23	0.7277978260869566	0.7386894143478265	0.22885262855833288	0.31004633695652206	1.1816728260869567	1.0	1.0	late-early	1000
AGRP	23	-0.3742565217391306	-0.368395114782609	0.10373796864004677	-0.5920192065217391	-0.17622756521739158	0.0	1.0	late-early	1000
ALCAM	23	0.2787243478260868	0.2791526456521734	0.051571584512557896	0.18098070652173895	0.38079957608695636	1.0	1.0	late-early	1000
CEACAM8	23	0.3113204347826086	0.31136427695652147	0.09509304318667605	0.14294818478260865	0.5044178260869564	1.0	1.0	late-early	1000
CDH5	23	0.1572260869565218	0.15562207043478285	0.04878697854267669	0.05782568478260877	0.2461864891304348	1.0	1.0	late-early	1000
CCL16	23	1.2619934782608697	1.2617123256521734	0.21134221030260655	0.8856320108695653	1.707080423913043	1.0	1.0	late-early	1000
SERPINA7	23	-0.20204913043478268	-0.20259169434782637	0.06600254334516346	-0.324880391304348	-0.07744579347826087	0.0	1.0	late-early	1000
PTX3	23	-0.6819678260869566	-0.6804743504347828	0.09807520399582624	-0.8639557065217394	-0.489222206521739	0.0	1.0	late-early	1000
ST2	23	-0.6486995652173911	-0.6443125343478265	0.17717889026793932	-0.9826803586956524	-0.29526249999999993	0.0	1.0	late-early	1000
CX3CL1	23	-0.24725565217391307	-0.2470659139130439	0.09753851966625877	-0.4373343586956523	-0.05688155434782609	0.001	0.999	late-early	1000
CNTNAP2	23	0.212265652173913	0.20978932434782596	0.06755456819345274	0.08403194565217399	0.3458856195652173	0.999	0.999	late-early	1000
CTSZ	23	-0.2053008695652174	-0.2034172469565221	0.06668005239797037	-0.3373325652173913	-0.07634727173913043	0.001	0.999	late-early	1000
IL16	23	-0.19262869565217403	-0.19366186478260888	0.08179551755248173	-0.37627751086956523	-0.053316641304348156	0.001	0.999	late-early	1000
IL18	23	-0.4120365217391304	-0.40434762173913064	0.13423796695187792	-0.6612921304347822	-0.1461504239130436	0.001	0.999	late-early	1000
