perm	module	n	mean_diff	p_value	bh_q
9	3	23	0.0628230193236716	0.38674844424024757	0.6445807404004127
9	4	23	0.08629627173913045	0.3607542141167661	0.6445807404004127
9	5	23	0.09879545893719813	0.27762774444481586	0.6445807404004127
9	6	23	-0.09318434782608713	0.36692309549902946	0.6445807404004127
9	7	23	0.047658670076726285	0.5258573660733727	0.6573217075917159
9	8	23	0.043642082379862765	0.37550851196634194	0.6445807404004127
9	9	23	-0.06145276268115941	0.6540957570750585	0.7008168825804199
9	10	23	-0.10510958333333355	0.3841770667094495	0.6445807404004127
9	11	23	-0.044369293478260755	0.5066755159848335	0.6573217075917159
9	12	23	0.020510176630434838	0.7110734917362422	0.7110734917362422
9	13	23	0.03252128544423449	0.48987939445889284	0.6573217075917159
9	14	23	0.023432111801242373	0.5942671511511648	0.6856928667128824
9	15	23	0.14597565217391312	0.33095792872785923	0.6445807404004127
10	1	23	0.027755617391304277	0.6909287703352787	0.9673632583799322
10	2	23	0.029632595108695634	0.7970765679224017	0.9673632583799322
10	3	23	0.04624275362318839	0.5359337856432154	0.9673632583799322
10	4	23	0.0019432608695651758	0.9726685248093108	0.9955683375532971
10	5	23	0.028122508361204175	0.6802334163357435	0.9673632583799322
10	6	23	0.0354405900621118	0.6287005695789194	0.9673632583799322
10	7	23	0.03530704347826091	0.6077950720770215	0.9673632583799322
10	8	23	-0.014705824064711924	0.8383814905959412	0.9673632583799322
10	9	23	-0.3274332608695652	0.03798418050069108	0.5697627075103662
10	10	23	-0.08858388586956535	0.564270857328383	0.9673632583799322
10	11	23	-0.13890792874396132	0.3732744670103658	0.9673632583799322
10	12	23	-0.009741268115942047	0.833454053678812	0.9673632583799322
10	13	23	-0.0002090434782608952	0.9955683375532971	0.9955683375532971
10	14	23	-0.028953577075098845	0.5997756281427606	0.9673632583799322
10	15	23	-0.0778066220735787	0.25487790443041747	0.9673632583799322
11	1	23	-0.05696714673913035	0.40780821099730824	0.6611284831854394
11	2	23	0.013400680529300595	0.8141296675992329	0.9454059317925478
11	3	23	0.02168591304347816	0.8823788696730446	0.9454059317925478
11	4	23	-0.06328311956521729	0.44075232212362625	0.6611284831854394
11	5	23	0.009938797953964048	0.8155652152638273	0.9454059317925478
11	6	23	0.0011280035492458812	0.9854951271133299	0.9854951271133299
11	7	23	0.20895184782608692	0.2948694611973579	0.6318631311371955
11	8	23	0.04722735349716449	0.350513855480052	0.6572134790250974
11	9	23	0.1646872534464476	0.07453343739353135	0.5022659162450702
11	10	23	-0.014626231884057886	0.8391494255464578	0.9454059317925478
11	11	23	0.08130776811594194	0.22737148539506302	0.5684287134876576
11	12	23	0.3018255835240274	0.13614247650333922	0.5022659162450702
11	13	23	0.0786674879227054	0.12906711722934672	0.5022659162450702
11	14	23	0.20646220916568747	0.03877726254795544	0.5022659162450702
11	15	23	0.16580330227743267	0.16742197208169007	0.5022659162450702
12	1	23	-0.024467086956521517	0.4152194116067387	0.884534573338059
12	2	23	0.01395334239130437	0.8696834639558146	0.884534573338059
12	3	23	0.08496220389805116	0.38278163069447335	0.884534573338059
12	4	23	-0.031119391304347873	0.6216585502046366	0.884534573338059
12	5	23	0.04295801127214182	0.7815239344334439	0.884534573338059
12	6	23	0.01937694249649375	0.8133128601398096	0.884534573338059
12	7	23	0.021825961098398194	0.746830428472435	0.884534573338059
12	8	23	-0.03335328922495259	0.7452958325067911	0.884534573338059
12	9	23	0.01687573913043456	0.8412926165815346	0.884534573338059
12	10	23	0.008098907741251283	0.8806324034857818	0.884534573338059
12	11	23	-0.012571956521739093	0.8064702548340694	0.884534573338059
12	12	23	0.018705256916995986	0.7575755669928332	0.884534573338059
12	13	23	-0.02652679549114325	0.8776273888493313	0.884534573338059
12	14	23	-0.046200043478261	0.34044867797268497	0.884534573338059
12	15	23	-0.017064492753623244	0.884534573338059	0.884534573338059
13	1	23	0.02383107085346222	0.7042227063054023	0.9913152191094383
13	2	23	-0.09736257763975165	0.2557448208418023	0.9913152191094383
13	3	23	-0.07765850241545867	0.29576999115185454	0.9913152191094383
